Contig,Study,Viral_Taxonomy,Nucleic_Acid_Type,GTDB_Host,Eukaryotic_or_Prokaryotic_Virus,Length,Circular_Status,Prophage,Prophage_Boundaries,VirSorter_Category,VirFinder_Score,VirFinder_pvalue,Total_Contig_Proteins,CAT_data,No_BUSCO_Hits,BUSCO_Ratio,No_VPF_Hits
Broecker_Sample_ID29-1191-0_NODE_1524_length_8276_cov_8.926043,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8276,NA,No,NA,1,8.17E-01,2.57E-02,12,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:60.5|186802_Clostridiales:60.5|unclassified|unclassified|unclassified,0,0,40
Ma_2019_SRR413648_NODE_380_length_36114_cov_2.632103,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,36114,NA,No,NA,2,5.46E-01,7.79E-02,54,Bacteria: 0.99|Bacteroidetes: 0.99|Bacteroidia: 0.99|Bacteroidales: 0.99|Bacteroidaceae: 0.93|Bacteroides: 0.93,0,0,0
Ma_2019_SRR413648_NODE_383_length_35954_cov_4.797125,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Butyricicoccaceae,Bacteriophage,35954,NA,No,NA,2,6.45E-01,5.68E-02,51,Bacteria: 0.99|Firmicutes: 0.98|Clostridia: 0.98|Clostridiales: 0.98|not classified|not classified,0,0,1
Ma_2019_SRR413648_NODE_4045_length_5543_cov_2.841655,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,5543,NA,NA,NA,NA,7.30E-01,0.040625758,4,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|Bacteroidaceae: 1.00|Bacteroides: 1.00,0,0,0
Ma_2019_SRR413648_NODE_4116_length_5449_cov_1.543011,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5449,NA,NA,NA,NA,9.54E-01,0.006791172,6,Bacteria: 1.00|Firmicutes: 0.88|Clostridia: 0.88|Clostridiales: 0.88|Ruminococcaceae: 0.71|Ruminococcus: 0.71,0,0,0
Ma_2019_SRR413648_NODE_4155_length_5402_cov_2.273611,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Muribaculaceae,Bacteriophage,5402,NA,NA,NA,NA,8.81E-01,0.016250303,4,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|not classified|not classified,0,0,0
Ma_2019_SRR413648_NODE_424_length_33920_cov_4.502584,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,33920,NA,No,NA,3,7.57E-01,3.55E-02,60,Bacteria: 1.00|Firmicutes: 0.99|Clostridia: 0.95|Clostridiales: 0.95|Ruminococcaceae: 0.58|Ruminococcus: 0.58,0,0,0
Ma_2019_SRR413648_NODE_427_length_33796_cov_2.805667,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,33796,NA,No,NA,3,8.24E-01,2.50E-02,39,Bacteria: 0.96|Bacteroidetes: 0.90|Bacteroidia: 0.90|Bacteroidales: 0.90|Bacteroidaceae: 0.90|Bacteroides: 0.90,0,0,0
Ma_2019_SRR413648_NODE_4329_length_5215_cov_1.873837,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5215,NA,NA,NA,NA,9.19E-01,0.011278196,5,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|Bacteroidaceae: 1.00|Bacteroides: 1.00,0,0,0
Ma_2019_SRR413648_NODE_4377_length_5152_cov_1.677654,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5152,NA,No,NA,3,2.99E-01,0.162381761,8,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Lachnospiraceae: 1.00|Dorea: 0.65,0,0,0
Ma_2019_SRR413648_NODE_446_length_33090_cov_2.497018,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,33090,NA,No,NA,2,4.44E-01,1.05E-01,48,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 0.98|Clostridiales: 0.98|Ruminococcaceae: 0.77|Ruminococcus: 0.77,0,0,0
Ma_2019_SRR413648_NODE_451_length_32720_cov_2.591275,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,32720,NA,No,NA,2,5.53E-01,7.63E-02,57,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Eubacteriaceae: 0.93|Eubacterium: 0.93,0,0,0
Ma_2019_SRR413648_NODE_476_length_31569_cov_5.452719,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,31569,NA,No,NA,2,4.17E-01,1.14E-01,54,Bacteria: 0.99|Firmicutes: 0.99|Clostridia: 0.98|Clostridiales: 0.98|Ruminococcaceae: 0.80|Faecalibacterium: 0.59,0,0,0
Ma_2019_SRR413649_NODE_1365_length_10439_cov_2.837250,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,10439,NA,NA,NA,NA,9.12E-01,0.012248363,10,Bacteria: 1.00|Firmicutes: 0.71|Clostridia: 0.71|Clostridiales: 0.71|Eubacteriaceae: 0.71|Eubacterium: 0.71,0,0,0
Ma_2019_SRR413649_NODE_1434_length_9962_cov_4.384980,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,9962,NA,NA,NA,NA,8.50E-01,0.021586224,5,Bacteria: 1.00|Firmicutes: 1.00|Negativicutes: 1.00|Veillonellales: 1.00|Veillonellaceae: 1.00|Veillonella: 1.00,0,0,0
Ma_2019_SRR413649_NODE_1774_length_7874_cov_3.696509,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7874,NA,NA,NA,NA,7.37E-01,0.038685423,3,Bacteria: 1.00|Firmicutes: 1.00|Negativicutes: 1.00|Veillonellales: 1.00|Veillonellaceae: 1.00|Veillonella: 1.00,0,0,0
Ma_2019_SRR413649_NODE_1880_length_7345_cov_2.570508,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,7345,NA,NA,NA,NA,9.36E-01,0.008974048,9,Bacteria: 1.00|Firmicutes: 0.86|Clostridia: 0.86|Clostridiales: 0.86|Eubacteriaceae: 0.86|Eubacterium: 0.86,0,0,0
Ma_2019_SRR413649_NODE_1887_length_7319_cov_3.063326,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7319,NA,NA,NA,NA,8.87E-01,0.015037594,1,Bacteria: 1.00|Firmicutes: 1.00|Negativicutes: 1.00|Veillonellales: 1.00|Veillonellaceae: 1.00|Veillonella: 1.00,0,0,0
Ma_2019_SRR413649_NODE_2053_length_6743_cov_2.059958,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6743,NA,No,NA,2,4.65E-02,0.465195246,10,Bacteria: 1.00|Firmicutes: 0.90|Negativicutes: 0.55|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413649_NODE_2118_length_6542_cov_10.343764,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6542,NA,No,NA,3,7.38E-01,0.03820034,8,Bacteria: 0.64|not classified|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413649_NODE_2226_length_6237_cov_2.862181,Ma_2019,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,6237,NA,No,NA,2,8.18E-01,0.025709435,6,Bacteria: 1.00|Proteobacteria: 1.00|Gammaproteobacteria: 1.00|Enterobacterales: 1.00|Enterobacteriaceae: 0.68|not classified,0,0,0
Ma_2019_SRR413649_NODE_2371_length_5800_cov_2.758399,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,5800,NA,NA,NA,NA,9.08E-01,0.012612176,5,Bacteria: 1.00|Firmicutes: 0.63|Clostridia: 0.63|Clostridiales: 0.63|Eubacteriaceae: 0.63|Eubacterium: 0.63,0,0,0
Ma_2019_SRR413649_NODE_2384_length_5769_cov_2.086629,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5769,NA,NA,NA,NA,9.25E-01,0.010429299,6,Bacteria: 1.00|Bacteroidetes: 0.91|Bacteroidia: 0.91|Bacteroidales: 0.91|Prevotellaceae: 0.56|Prevotella: 0.56,0,0,0
Ma_2019_SRR413649_NODE_2566_length_5342_cov_2.128239,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5342,NA,No,NA,2,2.58E-02,0.572034926,10,Bacteria: 1.00|Firmicutes: 0.93|Negativicutes: 0.70|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413649_NODE_2600_length_5262_cov_1.995775,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_C;f__Veillonellaceae,Bacteriophage,5262,NA,NA,NA,NA,9.69E-01,0.00533592,3,Bacteria: 1.00|Firmicutes: 1.00|Negativicutes: 1.00|Veillonellales: 1.00|Veillonellaceae: 1.00|Veillonella: 1.00,0,0,0
Ma_2019_SRR413649_NODE_2624_length_5207_cov_2.877717,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5207,NA,NA,NA,NA,9.30E-01,0.009822945,1,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Eubacteriaceae: 1.00|Eubacterium: 1.00,0,0,0
Ma_2019_SRR413649_NODE_2643_length_5174_cov_2.092792,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5174,NA,No,NA,2,4.64E-02,0.465316517,13,Bacteria: 1.00|Firmicutes: 1.00|Negativicutes: 0.91|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413649_NODE_2651_length_5162_cov_5.046211,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_C;f__Veillonellaceae,Bacteriophage,5162,NA,NA,NA,NA,9.73E-01,0.004608295,3,Bacteria: 1.00|Firmicutes: 1.00|Negativicutes: 1.00|Veillonellales: 1.00|Veillonellaceae: 1.00|Veillonella: 1.00,0,0,0
Ma_2019_SRR413649_NODE_62_length_104395_cov_7.161309,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Tannerellaceae,Bacteriophage,69990,NA,Yes,408-70398,5,7.16E-01,0.042808635,135,Bacteria: 1.00|Bacteroidetes: 0.97|Bacteroidia: 0.96|Bacteroidales: 0.95|not classified|not classified,0,0,0
Ma_2019_SRR413649_NODE_718_length_20539_cov_2.305360,Ma_2019,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,20539,NA,No,NA,1,5.58E-01,0.075430512,30,not classified|not classified|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413649_NODE_757_length_19555_cov_4.123795,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,19555,NA,NA,NA,NA,7.27E-01,0.041110842,11,Bacteria: 1.00|Bacteroidetes: 0.94|Bacteroidia: 0.94|Bacteroidales: 0.94|Bacteroidaceae: 0.94|Bacteroides: 0.94,0,0,0
Ma_2019_SRR413649_NODE_83_length_90986_cov_13.235486,Ma_2019,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Rhizobiaceae,Bacteriophage,90986,NA,No,NA,2,5.95E-01,0.067547902,128,Bacteria: 0.66|Proteobacteria: 0.65|Gammaproteobacteria: 0.63|Enterobacterales: 0.61|Enterobacteriaceae: 0.54|not classified,1,0.0078125,1
Ma_2019_SRR413650_NODE_1026_length_20209_cov_2.344845,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,20209,NA,No,NA,2,1.01E-01,3.33E-01,26,Bacteria: 1.00|Firmicutes: 0.94|Clostridia: 0.94|Clostridiales: 0.94|Ruminococcaceae: 0.81|Ruminococcus: 0.81,0,0,0
Ma_2019_SRR413650_NODE_107_length_97840_cov_86.225116,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,97840,NA,No,NA,2,8.20E-01,2.53E-02,115,Bacteria: 1.00|Bacteroidetes: 0.92|Bacteroidia: 0.92|Bacteroidales: 0.92|Prevotellaceae: 0.85|Prevotella: 0.81,1,0.008695652,0
Ma_2019_SRR413650_NODE_1136_length_18461_cov_5.305009,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,18461,NA,No,NA,2,3.09E-01,1.58E-01,25,Bacteria: 1.00|Firmicutes: 0.58|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_146_length_80742_cov_3.590269,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,80742,NA,No,NA,3,7.09E-01,4.41E-02,82,Bacteria: 1.00|Firmicutes: 0.99|Clostridia: 0.97|Clostridiales: 0.97|Lachnospiraceae: 0.52|not classified,4,0.048780488,3
Ma_2019_SRR413650_NODE_1566_length_13544_cov_10.188746,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,13544,NA,No,NA,2,7.80E-02,3.80E-01,17,Bacteria: 1.00|Firmicutes: 0.99|Clostridia: 0.79|Clostridiales: 0.79|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_1749_length_12328_cov_2.040007,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,12328,NA,No,NA,3,8.61E-01,1.96E-02,12,Bacteria: 1.00|Bacteroidetes: 0.64|Bacteroidia: 0.64|Bacteroidales: 0.64|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_1773_length_12209_cov_5.270199,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,12209,NA,No,NA,2,2.05E-01,2.20E-01,10,Bacteria: 1.00|Firmicutes: 0.94|Clostridia: 0.78|Clostridiales: 0.78|Lachnospiraceae: 0.76|Roseburia: 0.76,0,0,0
Ma_2019_SRR413650_NODE_1792_length_12045_cov_3.040117,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,12045,NA,No,NA,2,1.53E-02,6.61E-01,11,Bacteria: 1.00|Firmicutes: 0.92|Clostridia: 0.92|Clostridiales: 0.92|Lachnospiraceae: 0.92|Roseburia: 0.92,0,0,0
Ma_2019_SRR413650_NODE_2295_length_9472_cov_3.496761,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,9472,NA,No,NA,2,1.03E-02,7.21E-01,8,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Ruminococcaceae: 1.00|Subdoligranulum: 0.84,0,0,0
Ma_2019_SRR413650_NODE_2406_length_9082_cov_1.912817,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,9082,NA,NA,NA,NA,9.58E-01,6.55E-03,9,Bacteria: 1.00|Firmicutes: 1.00|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_2547_length_8608_cov_5.132000,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8608,NA,No,NA,2,4.52E-01,1.03E-01,15,Bacteria: 1.00|Firmicutes: 0.96|Clostridia: 0.96|Clostridiales: 0.96|Ruminococcaceae: 0.96|Ruminococcus: 0.96,0,0,1
Ma_2019_SRR413650_NODE_2580_length_8498_cov_13.919697,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8498,NA,NA,NA,NA,7.38E-01,3.86E-02,4,Bacteria: 1.00|Bacteroidetes: 0.86|Bacteroidia: 0.86|Bacteroidales: 0.86|Bacteroidaceae: 0.86|Bacteroides: 0.86,0,0,0
Ma_2019_SRR413650_NODE_294_length_51213_cov_4.097091,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,51213,NA,No,NA,2,1.31E-01,2.90E-01,69,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 0.92|Clostridiales: 0.92|Lachnospiraceae: 0.73|Roseburia: 0.66,0,0,1
Ma_2019_SRR413650_NODE_31_length_163843_cov_14.938091,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Marinifilaceae,Bacteriophage,98886,NA,Yes,609-99495,6,7.19E-01,4.23E-02,199,Bacteria: 0.80|Bacteroidetes: 0.52|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_3143_length_6976_cov_2.760728,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,Bacteriophage,6976,NA,NA,NA,NA,7.33E-01,3.93E-02,4,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Ruminococcaceae: 0.57|Ruminococcus: 0.57,0,0,0
Ma_2019_SRR413650_NODE_3301_length_6625_cov_3.182953,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,6625,NA,No,NA,2,5.12E-02,4.49E-01,5,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Lachnospiraceae: 1.00|Roseburia: 1.00,0,0,0
Ma_2019_SRR413650_NODE_3412_length_6453_cov_2.229759,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__UBA1381,Bacteriophage,6453,NA,NA,NA,NA,8.44E-01,2.26E-02,3,Bacteria: 1.00|Firmicutes: 1.00|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_3417_length_6449_cov_1.818111,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6449,NA,No,NA,2,1.65E-01,2.55E-01,6,Bacteria: 1.00|Firmicutes: 0.95|Clostridia: 0.76|Clostridiales: 0.76|Eubacteriaceae: 0.52|Eubacterium: 0.52,0,0,0
Ma_2019_SRR413650_NODE_3449_length_6370_cov_3.047348,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Rikenellaceae,Bacteriophage,6370,NA,NA,NA,NA,7.57E-01,3.55E-02,3,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|Rikenellaceae: 1.00|Alistipes: 1.00,0,0,0
Ma_2019_SRR413650_NODE_3474_length_6325_cov_2.015789,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,6325,NA,No,NA,2,3.88E-01,1.25E-01,7,Bacteria: 1.00|Firmicutes: 0.63|Clostridia: 0.63|Clostridiales: 0.63|Eubacteriaceae: 0.63|Eubacterium: 0.63,0,0,0
Ma_2019_SRR413650_NODE_3517_length_6247_cov_2.045543,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6247,NA,No,NA,2,7.64E-01,3.46E-02,7,Bacteria: 1.00|Firmicutes: 0.85|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_352_length_46621_cov_7.295538,Ma_2019,Unassigned,dsDNA,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,Bacteriophage,46621,NA,No,NA,2,5.31E-02,4.43E-01,66,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Ruminococcaceae: 1.00|Faecalibacterium: 0.96,2,0.03030303,0
Ma_2019_SRR413650_NODE_3599_length_6118_cov_1.536203,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6118,NA,No,NA,3,8.25E-01,2.49E-02,8,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 0.94|Clostridiales: 0.94|NA|NA,0,0,0
Ma_2019_SRR413650_NODE_3648_length_6039_cov_2.024900,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,6039,NA,NA,NA,NA,7.30E-01,4.07E-02,2,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Eubacteriaceae: 1.00|Eubacterium: 1.00,0,0,0
Ma_2019_SRR413650_NODE_3652_length_6032_cov_2.257487,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__CAG-74,Bacteriophage,6032,NA,NA,NA,NA,9.08E-01,1.26E-02,6,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 0.85|Clostridiales: 0.85|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_3873_length_5701_cov_8.608218,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,5701,NA,NA,NA,NA,9.24E-01,1.04E-02,6,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_3883_length_5687_cov_1.780185,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,5687,NA,No,NA,2,2.72E-02,5.64E-01,9,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Eubacteriaceae: 0.91|Eubacterium: 0.91,0,0,0
Ma_2019_SRR413650_NODE_3941_length_5606_cov_4.729959,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5606,NA,NA,NA,NA,9.40E-01,8.61E-03,11,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 0.88|Clostridiales: 0.88|Ruminococcaceae: 0.84|Ruminococcus: 0.84,0,0,0
Ma_2019_SRR413650_NODE_3951_length_5598_cov_2.062060,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__UBA1381,Bacteriophage,5598,NA,NA,NA,NA,7.50E-01,3.67E-02,3,Bacteria: 1.00|Firmicutes: 1.00|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_4180_length_5294_cov_2.305020,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,5294,NA,NA,NA,NA,9.61E-01,6.31E-03,7,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Clostridiaceae: 1.00|Clostridium: 1.00,0,0,0
Ma_2019_SRR413650_NODE_4269_length_5190_cov_2.226290,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,Bacteriophage,5190,NA,No,NA,2,1.49E-01,2.69E-01,6,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 1.00|Clostridiales: 1.00|Ruminococcaceae: 0.63|Ruminococcus: 0.63,0,0,0
Ma_2019_SRR413650_NODE_434_length_39563_cov_11.941632,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,29210,NA,Yes,55-29265,6,7.14E-01,4.34E-02,51,Bacteria: 1.00|Bacteroidetes: 0.92|Bacteroidia: 0.92|Bacteroidales: 0.92|Bacteroidaceae: 0.89|Bacteroides: 0.89,2,0.039215686,0
Ma_2019_SRR413650_NODE_506_length_35727_cov_3.313159,Ma_2019,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,35727,NA,No,NA,2,5.67E-01,7.26E-02,47,Bacteria: 1.00|Firmicutes: 1.00|Clostridia: 0.93|Clostridiales: 0.93|not classified|not classified,2,0.042553191,1
Ma_2019_SRR413650_NODE_580_length_32132_cov_5.341210,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,32132,NA,No,NA,2,6.25E-02,4.13E-01,51,Bacteria: 1.00|Firmicutes: 0.89|Clostridia: 0.80|Clostridiales: 0.80|not classified|not classified,1,0.019607843,0
Ma_2019_SRR413650_NODE_743_length_26438_cov_3.791532,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,26438,NA,No,NA,2,1.81E-01,2.41E-01,35,Bacteria: 1.00|Firmicutes: 0.97|not classified|not classified|not classified|not classified,0,0,0
Ma_2019_SRR413650_NODE_965_length_21451_cov_226.839222,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,21451,NA,NA,NA,NA,9.08E-01,1.26E-02,8,Bacteria: 1.00|Bacteroidetes: 0.79|Bacteroidia: 0.79|Bacteroidales: 0.79|not classified|not classified,0,0,0
Ma_2019_SRR413651_NODE_1088_length_19485_cov_6.434328,Ma_2019,Myoviridae,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,19485,NA,No,NA,1,4.32E-01,1.09E-01,28,not classified|not classified|not classified|not classified|not classified|not classified,0,0,1
Ma_2019_SRR413651_NODE_1173_length_17518_cov_19.278417,Ma_2019,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,17518,NA,No,NA,2,2.84E-01,1.71E-01,26,Bacteria: 0.87|Proteobacteria: 0.72|Gammaproteobacteria: 0.72|Enterobacterales: 0.67|Enterobacteriaceae: 0.55|not classified,0,0,0
Ma_2019_SRR413651_NODE_1188_length_17306_cov_9.461017,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,17306,NA,NA,NA,NA,7.24E-01,4.11E-02,10,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|Prevotellaceae: 0.95|Prevotella: 0.85,0,0,0
Ma_2019_SRR413651_NODE_1195_length_17221_cov_27.781778,Ma_2019,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,17221,NA,NA,NA,NA,9.08E-01,1.26E-02,10,Bacteria: 1.00|Bacteroidetes: 1.00|Bacteroidia: 1.00|Bacteroidales: 1.00|Prevotellaceae: 1.00|Prevotella: 1.00,0,0,0
Ma_2019_SRR413651_NODE_1198_length_17110_cov_2.956083,Ma_2019,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,17110,NA,No,NA,3,9.14E-01,1.19E-02,13,Bacteria: 0.96|Firmicutes: 0.96|Clostridia: 0.96|Clostridiales: 0.96|Lachnospiraceae: 0.78|not classified,0,0,2
Ma_2019_SRR413651_NODE_1257_length_16228_cov_7.765411,Ma_2019,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,16228,NA,No,NA,3,7.21E-01,4.21E-02,22,Bacteria: 1.00|Proteobacteria: 1.00|Gammaproteobacteria: 0.95|Enterobacterales: 0.95|Enterobacteriaceae: 0.74|not classified,0,0,0
