"","Accession","Host","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","X","gtdb_f","f_spor","newgtdb_Domain","hostspec_phage_spor","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","sequence_id","predicted_label","p_temperate","p_virulent","host_phage_spor","sporulation","lifestyle","host_phyla","newgtdb_Phylum2","cluster","ref"
"12627","MZ326857","Stenotrophomonas","Stenotrophomonas phage Piffle","Stenotrophomonas phage Piffle Pokkenvirus piffle Pokkenvirus Schitoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",76332,FALSE,"54.855","DNA","18-AUG-2021",88,"69.3181818181818","30.6818181818182","92.7710527694807",NA,6,"Pokkenvirus","Pokkenvirus","Unclassified","Schitoviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",19994,"virulent","0.03568525205512485","0.9643147479448753","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12628","MZ326858","Stenotrophomonas","Stenotrophomonas phage Pepon","Stenotrophomonas phage Pepon Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42532,FALSE,"60.039","DNA","24-FEB-2022",50,"100","0","92.9088686165711",NA,0,"Autographiviridae","Unclassified","Unclassified","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",17787,"virulent","0.14686130232108013","0.8531386976789198","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12629","MZ326859","Stenotrophomonas","Stenotrophomonas phage Siara","Stenotrophomonas phage Siara Siaravirus siara Siaravirus Beaumontvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",61427,FALSE,"56.500","DNA","23-FEB-2022",94,"51.063829787234","48.936170212766","92.2216614843636",NA,3,"Siaravirus","Siaravirus","Beaumontvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",17788,"virulent","0.279170038777532","0.7208299612224679","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12630","MZ326860","Stenotrophomonas","Stenotrophomonas phage Sonora","Stenotrophomonas phage Sonora Mesyanzhinovviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",63825,FALSE,"63.041","DNA","03-FEB-2022",94,"100","0","94.5616921269095",NA,0,"Mesyanzhinovviridae","Unclassified","Unclassified","Mesyanzhinovviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",18057,"temperate","0.8145957930311952","0.18540420696880483","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"12631","MZ326861","Stenotrophomonas","Stenotrophomonas phage Philippe","Stenotrophomonas phage Philippe Philippevirus philippe Philippevirus Schitoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",74717,FALSE,"54.330","DNA","03-FEB-2022",90,"73.3333333333333","26.6666666666667","94.0053803016716",NA,5,"Philippevirus","Philippevirus","Unclassified","Schitoviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",18056,"virulent","0.017168613608608576","0.9828313863913913","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12632","MZ326862","Stenotrophomonas","Stenotrophomonas phage Summit","Stenotrophomonas phage Summit Delepquintavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",95728,FALSE,"58.473","DNA","03-FEB-2022",149,"100","0","95.3117165301688",NA,5,"Delepquintavirus","Delepquintavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",18052,"virulent","0.1833336885362472","0.8166663114637529","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12633","MZ326863","Burkholderia","Burkholderia phage Paku","Burkholderia phage Paku Okabevirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42727,FALSE,"61.863","DNA","18-AUG-2021",46,"97.8260869565217","2.17391304347826","92.1127156130784",NA,0,"Okabevirinae","Unclassified","Okabevirinae","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Burkholderia cenocepacia",17492,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",19993,"temperate","0.5611998946201235","0.43880010537987646","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"12634","MZ326864","Alcaligenes","Alcaligenes phage Piluca","Alcaligenes phage Piluca Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",35451,FALSE,"40.851","DNA","18-AUG-2021",48,"66.6666666666667","33.3333333333333","95.8872810357959",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Alcaligenes faecalis",17260,"Burkholderiaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Burkholderiales",19992,"temperate","0.7421364219920157","0.2578635780079843","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"12635","MZ326865","Enterococcus","Enterococcus phage Sigurd","Enterococcus phage Sigurd Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41811,FALSE,"34.457","DNA","03-FEB-2022",73,"31.5068493150685","68.4931506849315","91.3826504986726",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Lactobacillales",18055,"virulent","0.23225601626888293","0.7677439837311171","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_1315","ref_seq"
"12636","MZ326866","Stenotrophomonas","Stenotrophomonas phage Suso","Stenotrophomonas phage Suso Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44659,FALSE,"67.411","DNA","03-FEB-2022",64,"75","25","94.932712331221",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",18051,"temperate","0.9621695609142644","0.037830439085735655","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"12637","MZ326867","Stenotrophomonas","Stenotrophomonas phage Silvanus","Stenotrophomonas phage Silvanus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45678,FALSE,"58.361","DNA","03-FEB-2022",63,"69.8412698412698","30.1587301587302","95.5076842243531",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",18054,"virulent","0.32852398777612013","0.6714760122238799","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12638","MZ326868","Stenotrophomonas","Stenotrophomonas phage Marzo","Stenotrophomonas phage Marzo Menderavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",159384,FALSE,"54.007","DNA","18-AUG-2021",261,"78.1609195402299","21.8390804597701","93.7258445013301",NA,23,"Menderavirus","Menderavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Stenotrophomonas maltophilia",135963,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",19991,"virulent","0.1808141531058848","0.8191858468941151","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12639","MZ327261","Salmonella","Salmonella phage vB_Si_35FD","Salmonella phage vB_Si_35FD Felixounavirus Ounavirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",85818,FALSE,"38.925","DNA","25-AUG-2021",122,"74.5901639344262","25.4098360655738","87.4793166934676",NA,24,"Felixounavirus","Felixounavirus","Ounavirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica subsp. enterica serovar Infantis",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",19948,"virulent","0.017460271774647537","0.9825397282253525","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12640","MZ327262","Salmonella","Salmonella phage vB_Si_DR094","Salmonella phage vB_Si_DR094 Felixounavirus Ounavirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",85730,FALSE,"39.178","DNA","25-AUG-2021",116,"70.6896551724138","29.3103448275862","88.3774641315759",NA,25,"Felixounavirus","Felixounavirus","Ounavirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica subsp. enterica serovar Infantis",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",19947,"virulent","0.021086952151578346","0.9789130478484216","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12641","MZ333131","Erwinia","Erwinia phage Pecta","Erwinia phage Pecta Citrovirus Zobellviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",49573,FALSE,"47.879","DNA","23-JUN-2022",85,"30.5882352941176","69.4117647058823","93.8494745123353",NA,0,"Citrovirus","Citrovirus","Unclassified","Zobellviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Erwinia sp.",40414,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",16628,"virulent","0.023219678138149777","0.9767803218618503","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12642","MZ333132","Erwinia","Erwinia phage Snitter","Erwinia phage Snitter Drexlerviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",51564,FALSE,"48.196","DNA","23-JUN-2022",77,"19.4805194805195","80.5194805194805","90.8152974943759",NA,1,"Drexlerviridae","Unclassified","Unclassified","Drexlerviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Erwinia sp.",40414,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",16627,"virulent","0.20163835589258738","0.7983616441074126","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12643","MZ333133","Curtobacterium","Curtobacterium phage Penoan","Curtobacterium phage Penoan Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",15303,FALSE,"68.078","DNA","23-JUN-2022",21,"9.52380952380952","90.4761904761905","90.3352283865909",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Curtobacterium sp.",69170,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Lytic_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",16626,"virulent","0.44684814488899627","0.5531518551110037","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Actinomycetota","not_run","not_run"
"12644","MZ333134","Curtobacterium","Curtobacterium phage Pize","Curtobacterium phage Pize Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",18290,FALSE,"58.568","DNA","23-JUN-2022",22,"100","0","91.4598141060689",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Curtobacterium sp.",69170,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",16625,"temperate","0.5210686099764295","0.4789313900235706","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"12645","MZ333135","Erwinia","Erwinia phage Zoomie","Erwinia phage Zoomie Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43480,FALSE,"54.425","DNA","23-JUN-2022",51,"0","100","93.2888684452622",NA,1,"Autographiviridae","Unclassified","Unclassified","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Erwinia sp.",40414,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",16624,"virulent","0.043467422059805486","0.9565325779401945","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12646","MZ333136","Curtobacterium","Curtobacterium phage Reje","Curtobacterium phage Reje Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",17554,FALSE,"56.996","DNA","23-JUN-2022",20,"100","0","91.620143557024",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Curtobacterium sp.",69170,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",16623,"temperate","0.5789046249961262","0.42109537500387384","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"12647","MZ333456","Enterococcus","Enterococcus phage VEsP-1","Enterococcus phage VEsP-1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39221,FALSE,"35.091","DNA","24-JAN-2023",59,"8.47457627118644","91.5254237288136","91.5453456056704",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",10171,"temperate","0.9324030717340049","0.06759692826599517","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1649","ref_seq"
"12648","MZ333457","Enterococcus","Enterococcus phage SSsP-1","Enterococcus phage SSsP-1 Saphexavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",57270,FALSE,"39.848","DNA","15-MAR-2023",91,"15.3846153846154","84.6153846153846","88.3342063907805",NA,2,"Saphexavirus","Saphexavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Lactobacillales",9426,"virulent","0.13172773673309066","0.8682722632669094","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_750","ref_seq"
"12649","MZ333458","Enterococcus","Enterococcus phage SEsuP-1","Enterococcus phage SEsuP-1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39319,FALSE,"33.518","DNA","08-AUG-2021",52,"86.5384615384615","13.4615384615385","84.8800834202294",NA,2,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",20077,"temperate","0.9337412352829384","0.06625876471706163","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1642","ref_seq"
"12650","MZ333461","Enterococcus","Enterococcus phage VEsP-2","Enterococcus phage VEsP-2 Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43177,FALSE,"34.845","DNA","08-OCT-2021",76,"34.2105263157895","65.7894736842105","91.7432892512217",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Lactobacillales",19650,"virulent","0.2772403717721426","0.7227596282278573","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_1153","ref_seq"
"12651","MZ333462","Enterococcus","Enterococcus phage GVEsP-1","Enterococcus phage GVEsP-1 Schiekvirus EfV12 Schiekvirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",149913,FALSE,"37.002","DNA","02-FEB-2023",196,"41.8367346938776","58.1632653061224","89.7927464596132",NA,24,"Schiekvirus","Schiekvirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Lactobacillales",10112,"virulent","0.07549845294555797","0.924501547054442","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_226","ref_seq"
"12652","MZ336020","Aeromonas","Aeromonas phage pAh6.2TG","Aeromonas phage pAh6.2TG Pahsextavirus Nefertitivirinae Chaseviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",51780,FALSE,"52.484","DNA","29-JUN-2021",67,"98.5074626865672","1.49253731343284","91.3557358053302",NA,0,"Pahsextavirus","Pahsextavirus","Nefertitivirinae","Chaseviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",5236,"Aeromonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",20363,"virulent","0.11396870264226722","0.8860312973577328","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12653","MZ342906","Escherichia","Escherichia phage vB_EcoP_SU7","Escherichia phage vB_EcoP_SU7 Suseptimavirus SU7 Suseptimavirus Gordonclarkvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",76626,FALSE,"42.054","DNA","29-JUN-2021",117,"19.6581196581197","80.3418803418803","89.4500561167228",NA,1,"Suseptimavirus","Suseptimavirus","Gordonclarkvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterotoxigenic Escherichia coli serovar O:139",40453,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",20362,"virulent","0.0490685744156275","0.9509314255843725","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12654","MZ343158","Mycobacterium","Mycobacterium phage RitSun","Mycobacterium phage RitSun Avanivirus Gracegardnervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",55975,FALSE,"60.815","DNA","07-JUL-2021",108,"87.037037037037","12.962962962963","94.6386779812416",NA,1,"Avanivirus","Avanivirus","Gracegardnervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Mycolicibacterium smegmatis mc^2 155",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",20339,"temperate","0.9955172633283854","0.004482736671614592","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"12655","MZ345003","Xanthomonas","Xanthomonas phage M29","Xanthomonas phage M29 Foxunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42891,FALSE,"59.644","DNA","07-DEC-2021",63,"87.3015873015873","12.6984126984127","91.4527523256627",NA,0,"Foxunavirus","Foxunavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Xanthomonas campestris pv. campestris",136150,"Xanthomonadaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Xanthomonadales",18620,"temperate","0.6040063879194095","0.3959936120805904","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"12656","MZ348421","Kosakonia","Kosakonia phage Kc283","Kosakonia phage Kc283 Cbunavirus Kc283 Cbunavirus Schitoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",76232,FALSE,"48.272","DNA","30-NOV-2021",94,"75.531914893617","24.468085106383","94.4616434043446",NA,3,"Cbunavirus","Cbunavirus","Unclassified","Schitoviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Kosakonia cowanii",40575,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",19266,"virulent","0.08779063599209777","0.9122093640079022","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12657","MZ348422","Kosakonia","Kosakonia phage Kc263","Kosakonia phage Kc263 Branisovskavirus Kc263 Branisovskavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",253740,TRUE,"45.455","DNA","30-NOV-2021",262,"13.7404580152672","86.2595419847328","94.7300386222117",NA,2,"Branisovskavirus","Branisovskavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Kosakonia cowanii",40575,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",19265,"virulent","0.05885748566775262","0.9411425143322474","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12658","MZ348423","Kosakonia","Kosakonia phage 305","Kosakonia phage 305 Kanagawavirus threeohfive Kanagawavirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",174783,FALSE,"40.019","DNA","30-NOV-2021",292,"15.4109589041096","84.5890410958904","94.4800123581813",NA,7,"Kanagawavirus","Kanagawavirus","Tevenvirinae","Straboviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Kosakonia cowanii",40575,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",19264,"virulent","0.028268029284995763","0.9717319707150042","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12659","MZ348424","Kosakonia","Kosakonia phage Kc304","Kosakonia phage Kc304 Winklervirus chi14 Winklervirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",171207,FALSE,"38.819","DNA","30-NOV-2021",273,"15.018315018315","84.981684981685","94.8495096578995",NA,15,"Winklervirus","Winklervirus","Tevenvirinae","Straboviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Kosakonia cowanii",40575,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",19263,"virulent","0.03529254029460183","0.9647074597053982","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"12660","MZ348425","Pseudomonas","Pseudomonas phage psageB2","Pseudomonas phage psageB2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",50739,FALSE,"58.507","DNA","28-JUL-2021",74,"67.5675675675676","32.4324324324324","92.7491673071996",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",88834,"Pseudomonadaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",20119,"temperate","0.8927020968655651","0.10729790313443485","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
