Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Annotation Count Gene Total	CheckM marker set	CheckM completeness	CheckM contamination
ASM4213859v1	GCF_042138595.1	GCA_042138595.1	Paenibacillus terreus	1387834		DSM 100035					GCF_042138595.1-RS_2025_09_23	2025-09-23	6744071		56	Contig	2024-09-22	JBHIRX01	56	50							6227	Paenibacillus	99.72	0.69
ASM4268496v1	GCF_042684965.1	GCA_042684965.1	Ornithinibacillus salinisoli	1848459		KCTC 33862					GCF_042684965.1-RS_2025_11_20	2025-11-20	4069259		46	Contig	2024-10-07	JBHUMI01	46	36							4169	Bacillaceae	98.71	1.21
ASM76686v1	GCF_000766865.1	GCA_000766865.1	Listeria booriae	1552123		FSL A5-0281					GCF_000766865.1-RS_2025_04_02	2025-04-02	3436956		31	Contig	2014-10-10	JNFA01	31	42							3293	Listeria	84.61	11.93
Rubiinfantum massiliensis	GCF_001375515.1	GCA_001375515.1	Bacillus kwashiorkori	1522318		SIT6					GCF_001375515.1-RS_2025_03_28	2025-03-28	2784637		16	Contig	2015-04-20	CTDX01	16	35							2650	Bacillus	71.2	0.59
ASM167884v1	GCF_001678845.1	GCA_001678845.1	Christensenella intestinihominis	1851429		AF73-05CM02					GCF_001678845.1-RS_2025_12_11	2025-12-11	3026655		36	Scaffold	2016-07-04	MAIQ01	29	52							2849	Clostridia	100	
ASM141432v1	GCF_001414325.1	GCA_001414325.1	Butyribacter intestini	1703332		TF01-11					GCF_001414325.1-RS_2025_07_21	2025-07-21	3610525		33	Scaffold	2015-10-27	LLKB01	12	37							3183	Lachnospiraceae	97.2	1.34
ASM771370v1	GCF_007713705.1	GCA_007713705.1	Salinicoccus cyprini	2493691		CT19					GCF_007713705.1-RS_2025_05_04	2025-05-04	2457961		24	Contig	2019-07-30	VMSJ01	24	48							2531	Salinicoccus	74.26	9.05
ASM143399v1	GCF_001433995.1	GCA_001433995.1	Secundilactobacillus kimchicus JCM 15530	1302272		JCM 15530					GCF_001433995.1-RS_2025_03_29	2025-03-29	2593269		45	Contig	2015-11-06	AZCX01	45	46.5							2573	Lactobacillaceae	98.8	0.41
ASM1535176v1	GCF_015351765.1	GCA_015351765.1	Clostridium vitabionis	2784388		YH-T4B42					GCF_015351765.1-RS_2025_12_11	2025-12-11	2863412		37	Scaffold	2020-11-10	JADKQA01	30	56							2643	Clostridium	90.99	1.24
ASM143558v1	GCF_001435585.1	GCA_001435585.1	Schleiferilactobacillus perolens DSM 12744	1423792		DSM 12744					GCF_001435585.1-RS_2025_03_28	2025-03-28	3309179		101	Contig	2015-11-06	AZEC01	101	49							3227	Lactobacillaceae	98.06	1.72
IMG-taxon 2651870176 annotated assembly	GCF_900113025.1	GCA_900113025.1	Alteribacillus iranensis	930128		DSM 23995					GCF_900113025.1-RS_2025_12_09	2025-12-09	3316135		26	Scaffold	2016-11-02	FONT01	21	41.5							3279	Bacillaceae	96.45	
ASM185538v1	GCF_001855385.1	GCA_001855385.1	Andreesenia angusta	39480		DSM 1989					GCF_001855385.1-RS_2025_05_02	2025-05-02	2343503		38	Contig	2016-10-27	MKIE01	38	43.5							2492	Bacteria	98.28	0.86
ASM972468v1	GCF_009724685.1	GCA_009724685.1	Lysinibacillus cavernae	2666135		SYSU K30005					GCF_009724685.1-RS_2025_03_27	2025-03-27	4690315		38	Contig	2019-12-02	WMEF01	38	37							4687	Lysinibacillus	93.7	6.14
ASM301465v1	GCF_003014655.1	GCA_003014655.1	Planomicrobium soli	1176648		CGMCC 1.12259					GCF_003014655.1-RS_2025_05_03	2025-05-03	3592970		36	Scaffold	2018-03-23	PYAT01	35	43.5							3548	Planococcaceae	93.4	3.17
IMG-taxon 2675903149 annotated assembly	GCF_900101385.1	GCA_900101385.1	Terribacillus halophilus	361279		DSM 21620					GCF_900101385.1-RS_2025_04_24	2025-04-24	3654407		26	Scaffold	2016-10-21	FMZB01	25	44.5							3782	Bacillaceae	95.27	1.42
ASM1464119v1	GCF_014641195.1	GCA_014641195.1	Marinithermofilum abyssi	1571185		CGMCC 1.15179					GCF_014641195.1-RS_2025_09_02	2025-09-02	3523418		45	Contig	2020-09-12	BMHQ01	45	51							3582	Thermoactinomycetaceae	84.51	9.25
ASM4586278v1	GCF_045862785.1	GCA_045862785.1	Furfurilactobacillus curtus	1746200		JCM 31185					GCF_045862785.1-RS_2025_12_11	2025-12-11	2178843		115	Scaffold	2024-09-28	BQXO01	99	44							2130	Lactobacillaceae	98.49	
ASM299396v1	GCF_002993965.1	GCA_002993965.1	Apilactobacillus timberlakei	2008380		HV_12					GCF_002993965.1-RS_2025_12_04	2025-12-04	1542971		17	Contig	2018-03-12	POST01	17	30.5							1622	Lactobacillaceae	96.4	
ASM1376084v1	GCF_013760845.1	GCA_013760845.1	[Anoxybacillus] calidus	575178		DSM 25220					GCF_013760845.1-RS_2024_12_29	2024-12-29	3405528		28	Scaffold	2020-07-27	JACDUU01	22	39							3538	Anoxybacillus	92.53	7.51
IMG-taxon 2724679802 annotated assembly	GCF_900182565.1	GCA_900182565.1	Melghirimyces algeriensis	910412		DSM 45474					GCF_900182565.1-RS_2025_05_04	2025-05-04	3425405		24	Scaffold	2019-07-11	FXTI01	23	46.5							3408	Thermoactinomycetaceae	84.82	10.21
ASM982883v1	GCF_009828835.1	GCA_009828835.1	Erysipelothrix urinaevulpis	2683717		165301687					GCF_009828835.1-RS_2025_12_11	2025-12-11	1909597		25	Scaffold	2020-01-03	WTTB01	24	34.5							1897	Erysipelothrix	73.89	13.36
ASM258340v1	GCF_002583405.1	GCA_002583405.1	Secundilactobacillus silagincola	1714681		IWT5					GCF_002583405.1-RS_2025_08_12	2025-08-12	2617693		89	Scaffold	2017-10-03	BCMJ01	86	43							2498	Lactobacillaceae	97.17	0.74
ASM1438509v1	GCF_014385095.1	GCA_014385095.1	Zongyangia hominis	2763677		NSJ-54					GCF_014385095.1-RS_2025_11_20	2025-11-20	2561368		23	Contig	2020-09-01	JACRTC01	23	56.5							2368	Ruminococcaceae	99.38	
ASM328501v1	GCF_003285015.1	GCA_003285015.1	Paenibacillus contaminans	450362		CKOBP-6					GCF_003285015.1-RS_2025_03_21	2025-03-21	10232629		107	Scaffold	2018-06-30	QMFB01	104	51.5							8281	Paenibacillus	99.58	1.01
ASM1483663v1	GCF_014836635.1	GCA_014836635.1	Paenibacillus gallinarum	2762232		Sa2BVA9					GCF_014836635.1-RS_2025_11_23	2025-11-23	5411474		61	Scaffold	2020-09-30	JACSQL01	59	41							5152	Paenibacillus	99.67	0.56
P3545	GCF_902143515.1	GCA_902143515.1	Hathewaya massiliensis	1964382		Marseille-P3545					GCF_902143515.1-RS_2025_04_13	2025-04-13	3058214		10	Contig	2019-06-26	CABFVD01	10	29.5							2969	Clostridiaceae	98.31	4.87
ASM102928v1	GCF_001029285.1	GCA_001029285.1	Desulfosporosinus acididurans	476652		M1					GCF_001029285.1-RS_2025_05_13	2025-05-13	4637866		47	Contig	2015-06-17	LDZY01	47	42							4533	Desulfosporosinus	92.42	5.66
IMG-taxon 2600254955 annotated assembly	GCF_900108455.1	GCA_900108455.1	Fructobacillus pseudoficulneus	220714		DSM 15468					GCF_900108455.1-RS_2025_04_24	2025-04-24	1413564		19	Scaffold	2016-10-27	FNWS01	18	44.5							1388	Lactobacillaceae	92.69	0.49
ASM4609820v1	GCF_046098205.1	GCA_046098205.1	Paenibacillus mesotrionivorans	3160968		P15					GCF_046098205.1-RS_2025_02_19	2025-02-19	6952194		46	Scaffold	2024-12-15	JBJURJ01	40	54							5944	Paenibacillaceae	99.72	1.37
ASM803955v1	GCF_008039555.1	GCA_008039555.1	Cerasibacillus terrae	2498845		CC-CFT480					GCF_008039555.1-RS_2025_12_11	2025-12-11	3061524		33	Contig	2019-08-20	VDUW01	33	35							3079	Bacillaceae	95.85	1.36
ASM1787323v1	GCF_017873235.1	GCA_017873235.1	Clostridium moniliforme	39489		DSM 3984					GCF_017873235.1-RS_2025_12_11	2025-12-11	2605467		27	Contig	2021-04-08	JAGGJZ01	27	26.5							2572	Clostridium	98.76	0.8
ASM1839057v1	GCF_018390575.1	GCA_018390575.1	Bhargavaea massiliensis	2697500		Marseille-Q1000					GCF_018390575.1-RS_2025_03_13	2025-03-13	3062549		48	Scaffold	2021-05-17	JAHBCJ01	44	54							3078	Planococcaceae	92.77	3.07
AMBP162	GCF_905332535.1	GCA_905332535.1	Latilactobacillus fragifolii	2814244		AMBP162					GCF_905332535.1-RS_2025_12_11	2025-12-11	1957595		24	Contig	2021-03-18	CAJOCF01	24	41							2009	Lactobacillaceae	98.69	
ASM1338514v1	GCF_013385145.1	GCA_013385145.1	Bombilactobacillus apium	2675299		DCY120					GCF_013385145.1-RS_2025_12_09	2025-12-09	1712546		17	Scaffold	2020-07-01	JABZEC01	16	40							1759	Lactobacillaceae	99.16	0.65
ASM893395v1	GCF_008933955.1	GCA_008933955.1	Heliorestis acidaminivorans	553427		DSM 24790					GCF_008933955.1-RS_2025_04_13	2025-04-13	3006840		44	Contig	2019-10-09	WBXO01	44	41							2914	Clostridiales	99.97	0.88
ASM1690859v1	GCF_016908595.1	GCA_016908595.1	Geomicrobium sediminis	1347788		DSM 25540					GCF_016908595.1-RS_2025_03_28	2025-03-28	4023443		35	Contig	2021-02-19	JAFBEC01	35	41.5							4275	Bacillales	98.13	0.75
ASM1464029v1	GCF_014640295.1	GCA_014640295.1	Paenibacillus abyssi	1340531		CGMCC 1.12987					GCF_014640295.1-RS_2025_09_02	2025-09-02	5229276		40	Contig	2020-09-12	BMGR01	40	49							4996	Paenibacillus	99.17	0.66
ASM1686060v1	GCF_016860605.1	GCA_016860605.1	Lentilactobacillus fungorum	2201250		YK48G					GCF_016860605.1-RS_2024_09_02	2024-09-02	2917093		21	Contig	2021-01-12	BNJR01	21	42.5							2707	Lactobacillaceae	99.35	
ASM1690852v1	GCF_016908525.1	GCA_016908525.1	Brevibacillus fulvus	1125967		DSM 25523					GCF_016908525.1-RS_2025_03_28	2025-03-28	3878741		32	Contig	2021-02-19	JAFBEB01	32	50							3945	Brevibacillus	77.27	8.15
ASM4243122v1	GCF_042431225.1	GCA_042431225.1	Paenibacillus aurantiacus	1936118		TISTR 2452					GCF_042431225.1-RS_2025_09_29	2025-09-29	7947736		62	Scaffold	2024-09-28	JBHMDO01	61	56.5							7016	Paenibacillus	99.17	1.35
ASM3041812v1	GCF_030418125.1	GCA_030418125.1	Fictibacillus fluitans	3058422		NE201					GCF_030418125.1-RS_2025_05_11	2025-05-11	4910325		51	Contig	2023-07-10	JAUHTR01	51	44.5							5042	Bacillaceae	98.92	0.54
IMG-taxon 2588254259 annotated assembly	GCF_900167375.1	GCA_900167375.1	Anaerorhabdus furcosa	118967		ATCC 25662					GCF_900167375.1-RS_2025_04_30	2025-04-30	2406951		11	Contig	2017-03-04	FUWY01	11	32							2427	Erysipelotrichaceae	99.37	0.63
ASM983123v1	GCF_009831235.1	GCA_009831235.1	Shimazuella alba	2690964		KC615					GCF_009831235.1-RS_2025_03_28	2025-03-28	3989583		44	Contig	2020-01-06	WUUL01	44	38.5							4113	Thermoactinomycetaceae	88.27	4.59
ASM361418v1	GCF_003614185.1	GCA_003614185.1	Paenibacillus aceti	1820010		L14					GCF_003614185.1-RS_2025_08_06	2025-08-06	5611962		64	Scaffold	2018-10-02	MDDO01	11	48							5028	Paenibacillus	98.69	1.22
ASM4636552v1	GCF_046365525.1	GCA_046365525.1	Anaerococcus martiniensis	3115615		ENR0831					GCF_046365525.1-RS_2025_02_16	2025-02-16	1615698		15	Contig	2024-12-30	JBGMEI01	15	32.5							1589	Anaerococcus	90.73	1.46
ASM1840376v1	GCF_018403765.1	GCA_018403765.1	Lactococcus nasutitermitis	1652957		NBRC 111537					GCF_018403765.1-RS_2025_09_02	2025-09-02	2189889		12	Contig	2021-04-29	BOVQ01	12	38							2168	Lactococcus	92.17	1.65
ASM351568v1	GCF_003515685.1	GCA_003515685.1	Neobacillus notoginsengisoli	1578198		JCM 30743					GCF_003515685.1-RS_2025_03_29	2025-03-29	4787403		58	Contig	2018-09-10	QWEG01	58	44							4795	Bacillaceae	97.29	0.47
ASM143613v1	GCF_001436135.1	GCA_001436135.1	Lacticaseibacillus thailandensis DSM 22698 = JCM 13996	1423810		DSM 22698					GCF_001436135.1-RS_2025_03_29	2025-03-29	2060676		24	Scaffold	2015-11-06	AYZK01	23	53.5							1933	Lactobacillaceae	98.9	0.98
ASM540500v1	GCF_005405005.1	GCA_005405005.1	Lactiplantibacillus daoliensis	2559916		116-1A					GCF_005405005.1-RS_2025_04_07	2025-04-07	2632925		19	Contig	2019-03-29	BJDH01	19	43.5							2466	Lactobacillaceae	99.35	0.74
ASM2921812v1	GCF_029218125.1	GCA_029218125.1	Neopoerus faecalis	3032125		CMD_1836					GCF_029218125.1-RS_2025_06_22	2025-06-22	2542847		36	Contig	2023-03-15	JARFXX01	36	56							2537	Ruminococcaceae	95.65	0.62
ASM1428792v1	GCF_014287925.1	GCA_014287925.1	Clostridium segne	2763038		BX14					GCF_014287925.1-RS_2025_07_15	2025-07-15	3098902		17	Contig	2020-08-24	JACOOW01	17	48.5							2843	Clostridium	100	0.62
ASM192184v1	GCF_001921845.1	GCA_001921845.1	Streptococcus cuniculi	1432788		CCUG 65085					GCF_001921845.1-RS_2025_04_22	2025-04-22	2094853		18	Contig	2016-12-24	MSJM01	18	43.5							2070	Streptococcus	99.52	0.48
ASM1314177v1	GCF_013141775.1	GCA_013141775.1	Paenibacillus phytohabitans	2654978		LMG 31459					GCF_013141775.1-RS_2025_05_05	2025-05-05	8459535		99	Contig	2020-05-22	WHOB01	99	51							7164	Paenibacillus	99.17	1.37
ASM434046v1	GCF_004340465.1	GCA_004340465.1	Mesobacillus foraminis	279826		CV53					GCF_004340465.1-RS_2025_04_05	2025-04-05	5730823		48	Scaffold	2019-03-11	SLVV01	35	43							5539	Bacillaceae	99.14	0.9
ASM2753364v1	GCF_027533645.1	GCA_027533645.1	Paenibacillus caseinilyticus	3098138		GW78					GCF_027533645.1-RS_2025_11_28	2025-11-28	7580993		53	Scaffold	2023-01-02	JAQAGY01	51	57.5							6573	Paenibacillus	99.58	
ASM1686165v1	GCF_016861655.1	GCA_016861655.1	Levilactobacillus lanxiensis	2799568		13B17					GCF_016861655.1-RS_2024_09_02	2024-09-02	3029779		24	Contig	2021-01-15	BOLN01	24	50.5							2759	Lactobacillaceae	99.29	0.87
ASM3058065v1	GCF_030580655.1	GCA_030580655.1	Paenibacillus lacisoli	3064525		JX-17					GCF_030580655.1-RS_2025_12_02	2025-12-02	4536936		52	Contig	2023-08-01	JAUQTB01	52	50.5							4330	Paenibacillus	99.72	0.93
ASM785919v1	GCF_007859195.1	GCA_007859195.1	Streptococcus cuniculipharyngis	1562651		CCUG 66496					GCF_007859195.1-RS_2025_05_04	2025-05-04	1511423		14	Contig	2019-08-06	VOHL01	14	42.5							1532	Streptococcus	96.22	0.45
ASM1997283v1	GCF_019972835.1	GCA_019972835.1	Lactobacillus laiwuensis	2841034		F551-2					GCF_019972835.1-RS_2025_09_09	2025-09-09	2053477		45	Contig	2021-07-16	BPPB01	45	36							1969	Lactobacillus	97.74	0.3
ASM4268494v1	GCF_042684945.1	GCA_042684945.1	Bacillus seohaeanensis	284580		KCTC 3913					GCF_042684945.1-RS_2025_11_20	2025-11-20	4352309		45	Scaffold	2024-10-07	JBHUMF01	44	37							4272	Bacillus	99.41	0.39
IMG-taxon 2636416074 annotated assembly	GCF_900100295.1	GCA_900100295.1	Salimicrobium halophilum	86666		DSM 4771					GCF_900100295.1-RS_2025_12_09	2025-12-09	3155619		21	Scaffold	2016-10-21	FNEV01	20	46.5							3288	Bacillaceae	98.7	0.65
Bacillus andreraoultii	GCF_001244735.1	GCA_001244735.1	Bacillus andreraoultii	1499685		SIT1					GCF_001244735.1-RS_2025_12_09	2025-12-09	4111990		58	Scaffold	2015-07-30	CWJM01	14	35.5							3915	Bacillus	97.01	1.85
ASM1965621v1	GCF_019656215.1	GCA_019656215.1	Apilactobacillus zhangqiuensis	2841031		F502-1					GCF_019656215.1-RS_2025_09_02	2025-09-02	1445942		8	Contig	2021-06-16	BPLK01	8	37							1366	Lactobacillaceae	97.79	1.09
ASM4265178v1	GCF_042651785.1	GCA_042651785.1	Chungangia koreensis	752657		CCUG 59778					GCF_042651785.1-RS_2025_03_02	2025-03-02	3062254		27	Scaffold	2024-10-05	JBHSEC01	22	41.5							3219	Lactobacillales	94.26	5.45
IMG-taxon 2617270768 annotated assembly	GCF_900114645.1	GCA_900114645.1	Gracilibacillus orientalis	334253		CGMCC 1.4250					GCF_900114645.1-RS_2025_05_03	2025-05-03	4611824		31	Scaffold	2016-11-02	FOTR01	29	36.5							4386	Bacillaceae	98.71	0.75
ASM593838v1	GCF_005938385.1	GCA_005938385.1	Paenibacillus mesophilus	2582849		SYSU K30004					GCF_005938385.1-RS_2025_03_27	2025-03-27	8791003		97	Scaffold	2019-06-03	VCRA01	94	53.5							7575	Paenibacillus	99.17	2
IMG-taxon 2675903136 annotated assembly	GCF_900111405.1	GCA_900111405.1	Salinibacillus kushneri	237682		CGMCC 1.3566					GCF_900111405.1-RS_2025_05_03	2025-05-03	3488694		25	Scaffold	2016-10-31	FOHJ01	23	37.5							3623	Bacillaceae	98.39	0.65
ASM188594v1	GCF_001885945.1	GCA_001885945.1	Enterococcus hermanniensis	249189		DSM 17122					GCF_001885945.1-RS_2025_05_03	2025-05-03	2613534		48	Scaffold	2016-11-25	JXKQ01	47	37.5							2625	Enterococcus	96.82	3.11
ASM358376v1	GCF_003583765.1	GCA_003583765.1	Paenibacillus nanensis	393251		DSM 22867					GCF_003583765.1-RS_2025_03_28	2025-03-28	6118890		45	Contig	2018-09-20	QXQA01	45	52.5							5417	Paenibacillus	99.72	
ASM320187v1	GCF_003201875.1	GCA_003201875.1	Hungatella effluvii	1096246		DSM 24995					GCF_003201875.1-RS_2025_06_16	2025-06-16	6863335		53	Scaffold	2018-06-07	QJKD01	49	49							6014	Lachnospiraceae	99.06	2.99
ASM574709v1	GCF_005747095.1	GCA_005747095.1	Exobacillus caeni	2574798		HB172195					GCF_005747095.1-RS_2025_05_04	2025-05-04	4703601		54	Contig	2019-05-23	SWLG01	54	41							4860	Bacillaceae	99.57	1.34
P3556	GCF_902168435.1	GCA_902168435.1	Bacillus marasmi	1926279		Marseille-P3556					GCF_902168435.1-RS_2025_05_04	2025-05-04	4638330		47	Scaffold	2019-07-31	CABHPS01	46	38							4613	Bacillus	96.91	2.02
ASM131735v1	GCF_001317355.1	GCA_001317355.1	Oxobacter pfennigii	36849		DSM 3222					GCF_001317355.1-RS_2025_04_12	2025-04-12	4510552		69	Contig	2015-10-16	LKET01	69	39							4438	Clostridiaceae	96.91	8.21
ASM1483649v1	GCF_014836495.1	GCA_014836495.1	Cytobacillus stercorigallinarum	2762240		Sa5YUA1					GCF_014836495.1-RS_2025_11_23	2025-11-23	4437819		46	Scaffold	2020-09-30	JACSQT01	39	37							4502	Bacillaceae	99.35	0.22
IMG-taxon 2681813520 annotated assembly	GCF_900156705.1	GCA_900156705.1	Salimicrobium salexigens	908941		DSM 22782					GCF_900156705.1-RS_2025_12_09	2025-12-09	2584100		35	Scaffold	2017-01-14	FTOK01	34	47							2684	Bacillaceae	95.78	
ASM1787473v1	GCF_017874735.1	GCA_017874735.1	Paenibacillus silagei	1670801		DSM 101953					GCF_017874735.1-RS_2025_04_30	2025-04-30	7676680		54	Contig	2021-04-08	JAGGLV01	54	52.5							6640	Paenibacillus	99.17	0.93
ASM969591v1	GCF_009695915.1	GCA_009695915.1	Hornefia butyriciproducens	2652293		WCA-MUC-591-APC-3H					GCF_009695915.1-RS_2025_03_02	2025-03-02	2438520		28	Contig	2019-11-22	VUMZ01	28	51.5							2266	Clostridia	97.05	
ASM433980v1	GCF_004339805.1	GCA_004339805.1	Anaerospora hongkongensis	244830		DSM 15969					GCF_004339805.1-RS_2025_04_17	2025-04-17	4632311		35	Scaffold	2019-03-11	SLUI01	33	46							4572	Selenomonadales	100	4.29
ASM1674583v1	GCF_016745835.1	GCA_016745835.1	Caldalkalibacillus salinus	2803787		YIM B00319					GCF_016745835.1-RS_2025_03_15	2025-03-15	3768312		72	Contig	2021-01-24	JAERVL01	72	43							3568	Bacillaceae	98.06	1.55
ASM143705v1	GCF_001437055.1	GCA_001437055.1	Limosilactobacillus secaliphilus	396268		DSM 17896					GCF_001437055.1-RS_2025_03_28	2025-03-28	1646143		15	Scaffold	2015-11-06	JQBW01	11	47.5							1564	Lactobacillaceae	97.62	0.65
Eubacteriales_fam_nov_CLA_AA_M08	GCF_943193045.1	GCA_943193045.1	Pumilibacter muris	2941510		CLA-AA-M08					GCF_943193045.1-RS_2025_03_29	2025-03-29	2293417		16	Contig	2022-06-10	CALPCN01	16	47							2039	Clostridiales	93.86	
ASM3624634v1	GCF_036246345.1	GCA_036246345.1	Lactobacillus rizhaonensis	3082863		F790					GCF_036246345.1-RS_2025_04_02	2025-04-02	1928938		15	Scaffold	2023-10-26	BTTV01	14	36							1848	Lactobacillus	97.74	0.16
PRJEB22715	GCF_900232945.1	GCA_900232945.1	Urinicoccus timonensis	2024205		Marseille-P3926					GCF_900232945.1-RS_2025_08_20	2025-08-20	1978908		13	Contig	2017-10-18	OCTU01	13	41							1944	Bacteria	98.28	
IMG-taxon 2654588110 annotated assembly	GCF_900102085.1	GCA_900102085.1	Paenibacillus polysaccharolyticus	582692		BL9					GCF_900102085.1-RS_2025_03_29	2025-03-29	6495147		39	Scaffold	2016-10-18	FMVM01	34	45.5							5662	Paenibacillus	99.72	0.74
ASM4265986v1	GCF_042659865.1	GCA_042659865.1	Paenibacillus septentrionalis	429342		PCU 280					GCF_042659865.1-RS_2025_11_20	2025-11-20	4757891		46	Scaffold	2024-10-06	JBHSTE01	34	44							4351	Paenibacillus	97.5	0.11
ASM1419210v1	GCF_014192105.1	GCA_014192105.1	Paenibacillus phyllosphaerae	274593		CECT 5862					GCF_014192105.1-RS_2025_05_05	2025-05-05	7894703		61	Scaffold	2020-08-14	JACHXK01	54	54							6866	Paenibacillus	99.72	0.85
ASM2245886v1	GCF_022458865.1	GCA_022458865.1	Paenibacillus periandrae	1761741		PM10					GCF_022458865.1-RS_2025_03_28	2025-03-28	9785225		265	Contig	2022-03-03	JAJNMU01	265	45							9173	Paenibacillus	99.17	2.59
ASM186600v1	GCF_001866005.1	GCA_001866005.1	Anaerobacillus alkalilacustris	393763		DSM 18345					GCF_001866005.1-RS_2025_05_03	2025-05-03	4047432		50	Contig	2016-11-03	MLQR01	50	35							3948	Bacillaceae	85.65	0.88
Eubacteriales_fam_nov_CLA_AA_M11	GCF_943192945.1	GCA_943192945.1	Anaerocaecibacter muris	2941513		CLA-AA-M11					GCF_943192945.1-RS_2025_03_29	2025-03-29	1970454		12	Contig	2022-06-10	CALPCE01	12	50.5							1753	Clostridiales	95.18	
ASM62148v1	GCF_000621485.1	GCA_000621485.1	Alkaliphilus transvaalensis ATCC 700919	1408422		ATCC 700919					GCF_000621485.1-RS_2025_12_13	2025-12-13	4024838		47	Scaffold	2014-04-08	JHYF01	44	34							3806	Alkaliphilus	100	0.95
ASM1676561v1	GCF_016765615.1	GCA_016765615.1	Clostridium paridis	2803863		YIM B02565					GCF_016765615.1-RS_2025_03_29	2025-03-29	4080554		34	Scaffold	2021-01-27	JAESWA01	31	30							4084	Clostridium	99.38	1.55
ASM1429733v1	GCF_014297335.1	GCA_014297335.1	Roseburia yibonii	2763063		BX0805					GCF_014297335.1-RS_2025_12_13	2025-12-13	2712279		28	Contig	2020-08-25	JACOQH01	28	46.5							2717	Roseburia	79.61	6.38
ASM1428787v1	GCF_014287875.1	GCA_014287875.1	Flintibacter faecis	2763047		BX5					GCF_014287875.1-RS_2025_07_15	2025-07-15	2849896		42	Contig	2020-08-24	JACOPN01	42	58.5							2798	Clostridiales	99.12	
ASM1428805v1	GCF_014288055.1	GCA_014288055.1	Agathobaculum hominis	2763014		M2					GCF_014288055.1-RS_2025_12_11	2025-12-11	2563169		22	Contig	2020-08-24	JACOPK01	22	57							2501	Clostridiales	98.25	
IMG-taxon 2651870112 annotated assembly	GCF_900113635.1	GCA_900113635.1	Tindallia magadiensis	69895		Z-7934					GCF_900113635.1-RS_2025_12_13	2025-12-13	3083807		33	Scaffold	2016-11-02	FOQA01	31	39.5							2837	Clostridia	98.18	0.3
CIP111649	GCF_903994045.1	GCA_903994045.1	Jeotgalicoccus meleagridis	2759181		CIP 111649					GCF_903994045.1-RS_2025_12_11	2025-12-11	2070175		17	Scaffold	2020-08-12	CAJEWD01	14	36							2160	Jeotgalicoccus	86.99	4.73
ASM57630v1	GCF_000576305.1	GCA_000576305.1	Paenibacillus pini JCM 16418	1236976		JCM 16418					GCF_000576305.1-RS_2025_09_02	2025-09-02	4961801		68	Contig	2014-02-17	BAVZ01	68	42							4924	Paenibacillus	86.45	
ASM333735v1	GCF_003337355.1	GCA_003337355.1	Fontibacillus phaseoli	1416533		CECT 8333					GCF_003337355.1-RS_2025_05_04	2025-05-04	5444741		34	Scaffold	2018-07-24	QPJW01	30	49.5							5061	Paenibacillaceae	99.07	0.53
ASM1430617v1	GCF_014306175.1	GCA_014306175.1	Veillonella hominis	2764330		NSJ-78					GCF_014306175.1-RS_2025_08_08	2025-08-08	2041457		20	Contig	2020-08-26	JACRWI01	20	38.5							1906	Veillonella	99.77	0.05
ASM4286528v1	GCF_042865285.1	GCA_042865285.1	Cytobacillus spartinae	3299023		FJAT-54145					GCF_042865285.1-RS_2025_11_20	2025-11-20	5200637		40	Contig	2024-10-09	JBIACK01	40	37							5445	Bacillaceae	99.35	2.11
ASM1463590v1	GCF_014635905.1	GCA_014635905.1	Limosilactobacillus caviae	1769424		CCM 8609					GCF_014635905.1-RS_2025_08_26	2025-08-26	2308498		25	Contig	2020-09-11	BMDS01	25	38.5							2264	Lactobacillaceae	99.35	
ASM228737v1	GCF_002287375.1	GCA_002287375.1	Virgibacillus profundi	2024555		P3-H5					GCF_002287375.1-RS_2025_08_06	2025-08-06	4362047		154	Contig	2017-09-06	NPOA01	154	37							4392	Bacillaceae	97.94	3.16
ASM335050v1	GCF_003350505.1	GCA_003350505.1	Falsibacillus pallidus	493781		DSM 25281					GCF_003350505.1-RS_2025_05_04	2025-05-04	3865655		43	Scaffold	2018-07-31	QQAY01	40	42							4015	Bacillaceae	98.44	0.38
ASM1535139v1	GCF_015351395.1	GCA_015351395.1	Savagea serpentis	2785297		SN6					GCF_015351395.1-RS_2025_12_11	2025-12-11	2637389		21	Contig	2020-11-10	JADKPV01	21	41							2688	Planococcaceae	88.02	2.45
ASM2454308v1	GCF_024543085.1	GCA_024543085.1	Granulicatella seriolae	2967226		S8					GCF_024543085.1-RS_2025_12_11	2025-12-11	2224566		28	Scaffold	2022-08-05	JANHNZ01	26	38.5							2053	Granulicatella	78.38	10.32
